ProductId,Image,Description,Rating,NumberRated,Price,Url
11,https://m.media-amazon.com/images/I/81TFZkZAq5L._AC_UL320_.jpg,"SunBlaster Growlight Garden – T5HO 6400K Lighting – Indoor Garden with Grow Lights for Indoor Plants, Black, SL1600220",3.9 out of 5 stars,5,99.99,https://www.amazon.ca/SunBlaster-1600220-Light-Garden-Large/dp/B07CKRLJW1/ref=sr_1_11?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-11
12,https://m.media-amazon.com/images/I/71IYdI17seL._AC_UL320_.jpg,"iDOO Hydroponics Growing System Up to 18.7"", 10 Pods Indoor Herb Garden Kit with Grow Light, Plants Germination Kit with Pump, Automatic Timing",4.3 out of 5 stars,177,45.99,https://www.amazon.ca/iDOO-ID-IG303-10Pods-Indoor-Garden/dp/B09638W4BY/ref=sr_1_12?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-12
13,https://m.media-amazon.com/images/I/818v+I+RuSL._AC_UL320_.jpg,"Honesorn 600W LED Grow Light, Full Spectrum Growing Lamp with Veg&Bloom Switch UV&IR, Indoor Garden Plant Light with Adjustable Rope, Grow Lights for Indoor Plants, Greenhouse (600w)",4.1 out of 5 stars,317,48.99,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_lawngarden_sr_pg1_1?ie=UTF8&adId=A0417556ME3N4UNJJ8HP&qualifier=1650964385&id=2867984954111423&widgetName=sp_mtf&url=%2FHonesorn-Spectrum-Growing-Adjustable-Greenhouse%2Fdp%2FB07S82CHPP%2Fref%3Dsr_1_13_sspa%3Fkeywords%3Dgarden%2Bindoor%26qid%3D1650964385%26refinements%3Dp_72%253A11192167011%26rnid%3D11192166011%26s%3Dlawn-garden%26sr%3D1-13-spons%26psc%3D1
14,https://m.media-amazon.com/images/I/71dEBw-vc1S._AC_UL320_.jpg,"DESHENG Bamboo Plant Stand with 4 Tier for Indoor and Outdoor, Lightweight and Sturdy Plant Shelf Holder for House, Garden, and Balcony, Hold Up to 7-9 Flower Pots",4.0 out of 5 stars,287,125.59,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_lawngarden_sr_pg1_1?ie=UTF8&adId=A0928625WFNVELLU4L1N&qualifier=1650964385&id=2867984954111423&widgetName=sp_mtf&url=%2FDESHENG-Bamboo-Outdoor-Lightweight-Balcony%2Fdp%2FB08RRHJ5G3%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dgarden%2Bindoor%26qid%3D1650964385%26refinements%3Dp_72%253A11192167011%26rnid%3D11192166011%26s%3Dlawn-garden%26sr%3D1-14-spons%26psc%3D1
15,https://m.media-amazon.com/images/I/71o8L4IgNOL._AC_UL320_.jpg,"Outsunny Raised Garden Bed Plant Stand Wooden Garden Planter & Bench Combination Garden Raised Bed for Patio Park, 69.25"" x 15"" x 15.75"", Natural",4.5 out of 5 stars,5,99.99,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_lawngarden_sr_pg1_1?ie=UTF8&adId=A09840233EMJQ51YY3BZZ&qualifier=1650964385&id=2867984954111423&widgetName=sp_mtf&url=%2FOutsunny-Wooden-Garden-Planter-Combination%2Fdp%2FB08R81H1Z3%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dgarden%2Bindoor%26qid%3D1650964385%26refinements%3Dp_72%253A11192167011%26rnid%3D11192166011%26s%3Dlawn-garden%26sr%3D1-15-spons%26psc%3D1
16,https://m.media-amazon.com/images/I/61yIkUbqblL._AC_UL320_.jpg,Indoor Herb Garden Kit COLMO Herb Garden Kits Kitchen Growing Starter (Indoor Herb Garden Kit),4.5 out of 5 stars,28,119.99,https://www.amazon.ca/COLMO-Starter-Planter-Gardening-Cilantro/dp/B084SSQMQR/ref=sr_1_16?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-16
17,https://m.media-amazon.com/images/I/71SMxzTwBCL._AC_UL320_.jpg,"M-Aimee Set of 10-Pack Seed Starting Kit for 36mm Peat Pellets(not Included), Sturdy Greenhouse Tray with Dome Seed Starter Indoor Garden Supplies Growing Starter kit Starting Trays Indoor Herbs Flowers Vegetables",4.7 out of 5 stars,31,210.35,https://www.amazon.ca/M-Aimee-Starting-Included-Greenhouse-Vegetables/dp/B08HD6H2DS/ref=sr_1_17?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-17
18,https://m.media-amazon.com/images/I/81DPs6WZXjL._AC_UL320_.jpg,AeroGarden Harvest - Black,5.0 out of 5 stars,"3,351",230,https://www.amazon.ca/AeroGarden-901100-1200-Harvest-Black/dp/B07CKK8Z78/ref=sr_1_18?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-18
19,https://m.media-amazon.com/images/I/81u5OP30SHL._AC_UL320_.jpg,AeroGarden Sprout LED - Black,3.9 out of 5 stars,"1,011",120.99,https://www.amazon.ca/AeroGarden-Sprout-LED-Black-Model/dp/B08GVSPFMW/ref=sr_1_19?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-19
20,https://m.media-amazon.com/images/I/81P8mfXU2CL._AC_UL320_.jpg,"Plant Stand Indoor Outdoor,CFMOUR 10 Tire Tall Large Wood Plant Shelf Multi Tier Flower Stands,Garden Shelves Wooden Plant Display Holder Rack for Living Room Corner Balcony Office Lawn Patio",4.4 out of 5 stars,"1,534",89.99,https://www.amazon.ca/Indoor-Outdoor-Shelves-Display-Balcony/dp/B08JQC7JV1/ref=sr_1_20?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-20
21,https://m.media-amazon.com/images/I/71sMLUjRmyS._AC_UL320_.jpg,"Bio Green City Jungle Hydroponic Gardening System –Self Watering Planter with Trellis –17L Water Reservoir Hydroponic Tower–Easy DIY Assembly –Ideal for Flowers, Herbs, Vegetables",4.5 out of 5 stars,94,59.99,https://www.amazon.ca/Bio-Green-JGL-T-City-Jungle/dp/B07XS58WQH/ref=sr_1_21?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-21
22,https://m.media-amazon.com/images/I/7175U+loYuL._AC_UL320_.jpg,"semai Grow Light for Indoor Plant, 4 Head Plant Light Auto Timer 10 Adjustable Level 3/9/12H LED Grow Light for Potted, 40W 360 Degree Adjustable Gooseneck Plant Light with Clip",4.5 out of 5 stars,"2,742",159.99,https://www.amazon.ca/Indoor-Adjustable-Potted-360%C2%B0Adjustable-Gooseneck/dp/B07Y9MTKGG/ref=sr_1_22?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-22
23,https://m.media-amazon.com/images/I/61mi0-LfzoL._AC_UL320_.jpg,"Hydroponics Growing System12pods(including4Larger),Indoor Herb Garden Built-in Smart Fan,Growth Diary and Water Pump,Plant Growing Kit with 6L Water Tank,Smart herb Garden kit for Home Kitchen,Gardening gifts for Mom Women,kids.(white)",4.4 out of 5 stars,16,169.99,https://www.amazon.ca/Hydroponics-Growing-System12pods-including4Larger-Gardening/dp/B09L6BBBLR/ref=sr_1_23?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-23
24,https://m.media-amazon.com/images/I/71xCqniPRWL._AC_UL320_.jpg,"Yoocaa 12 Pods Hydroponics Growing System, Large Indoor Herb Garden with LED Light, Up to 19.4'' Height Adjustable Hydroponics Gardening System for Home Kitchen Gardening (Black)",4.0 out of 5 stars,243,39.99,https://www.amazon.ca/Yoocaa-Hydroponics-Growing-Adjustable-Gardening/dp/B09FLCC995/ref=sr_1_24?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-24
25,https://m.media-amazon.com/images/I/61t4ImvFfaL._AC_UL320_.jpg,"5 Tier Stackable Strawberry, Herb, Flower, and Vegetable Planter - Vertical Garden Indoor / Outdoor",4.4 out of 5 stars,"1,197",29.99,https://www.amazon.ca/Stackable-Strawberry-Flower-Vegetable-Planter/dp/B007TFTW3U/ref=sr_1_25?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-25
26,https://m.media-amazon.com/images/I/71SFdylLBCL._AC_UL320_.jpg,"MONGYA Mini Indoor Hydroponic Garden Grow Lights, Growing System with Led Lights, Mini Indoor Garden with, Height Adjustable, Automatic Timer, 5V Low Safe Voltage, Herb Garden, Mini Plant Growing Lamps for Hydroponics",3.0 out of 5 stars,9,126.72,https://www.amazon.ca/Hydroponic-Growing-Adjustable-Automatic-Hydroponics/dp/B09C8HR1FC/ref=sr_1_26?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-26
27,https://m.media-amazon.com/images/I/81y4kwYdfeL._AC_UL320_.jpg,VIVOSUN Hydroponics Growing System Indoor Herb Smart Garden Starter Kit with LED Grow Light,4.3 out of 5 stars,21,199.95,https://www.amazon.ca/VIVOSUN-Hydroponics-Growing-System-Starter/dp/B08NPVT36X/ref=sr_1_27?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-27
28,https://m.media-amazon.com/images/I/818AYYTE5oL._AC_UL320_.jpg,"Click and Grow Smart Garden 9 Indoor Gardening Kit (Includes 3 Mini Tomato, 3 Basil and 3 Green Lettuce Plant pods), White",4.4 out of 5 stars,1,87.98,https://www.amazon.ca/Click-Grow-Garden-Gardening-Lettuce/dp/B08ZJCX3H4/ref=sr_1_28?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-28
29,https://m.media-amazon.com/images/I/81pi7AehLqL._AC_UL320_.jpg,"Hydroponics Grow System, Diivoo Indoor Herb Garden Starter Kit 12 Pods with Led Grow Light, Smart Garden Planter for Home Kitchen,Automatic Cycle Timer Germination Kit,Height Adjustable.(No Seed)",3.7 out of 5 stars,57,129.95,https://www.amazon.ca/Hydroponics-Diivoo-Automatic-Germination-Adjustable/dp/B09CM3RTQW/ref=sr_1_29?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-29
30,https://m.media-amazon.com/images/I/71hK9hLe4tL._AC_UL320_.jpg,"Ivation 3-Pod Indoor Herb Garden Kit | Hydroponic Germination Starter Set with Smart LED Light, Seedling Blocks, Planting Baskets, Nutrients & Supplies | Grow Plants, Herbs, Veggies, Flowers & Fruits",4.1 out of 5 stars,2,62.99,https://www.amazon.ca/Ivation-Hydroponic-Germination-Seedling-Nutrients/dp/B09HMZGQ37/ref=sr_1_30?keywords=garden+indoor&qid=1650964385&refinements=p_72%3A11192167011&rnid=11192166011&s=lawn-garden&sr=1-30
31,https://m.media-amazon.com/images/I/812hKlffk2S._AC_UL320_.jpg,"Flexi Hose - GREEN MONSTAH - 8 Function Nozzle Expandable Garden Hose, Lightweight & No-Kink Flexible Garden Hose, 3/4 inch Solid Brass Fittings and Double Latex Core, 50 ft Green",5.0 out of 5 stars,"2,946",147.82,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_lawngarden_sr_pg1_1?ie=UTF8&adId=A0414940265VX44WKDNXV&qualifier=1650964385&id=2867984954111423&widgetName=sp_btf&url=%2FFlexi-Hose-Upgraded-Expandable-Garden%2Fdp%2FB07CN8KMZJ%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dgarden%2Bindoor%26qid%3D1650964385%26refinements%3Dp_72%253A11192167011%26rnid%3D11192166011%26s%3Dlawn-garden%26sr%3D1-31-spons%26psc%3D1
32,https://m.media-amazon.com/images/I/814AokcmIEL._AC_UL320_.jpg,4-Ft Vertical Garden Planter for Outdoor and Indoor Plants - Elevated Planter with 4 Rectangular Plastic Planter Boxes for Patio and Balcony (1-Pack/Forest Green),4.3 out of 5 stars,71,39.99,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_lawngarden_sr_pg1_1?ie=UTF8&adId=A06620402LNQW11OD89WY&qualifier=1650964385&id=2867984954111423&widgetName=sp_btf&url=%2F4-Ft-Raised-Garden-Bed-Freestanding%2Fdp%2FB07T9P6QN2%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dgarden%2Bindoor%26qid%3D1650964385%26refinements%3Dp_72%253A11192167011%26rnid%3D11192166011%26s%3Dlawn-garden%26sr%3D1-32-spons%26psc%3D1%26smid%3DA1ALRFCLE1AOZ2
33,https://m.media-amazon.com/images/I/81QaXgqRZNL._AC_UL320_.jpg,"Flexi Hose with 8 Function Nozzle Expandable Garden Hose, Lightweight & No-Kink Flexible Garden Hose, 3/4 inch Solid Brass Fittings and Double Latex Core, 50 ft Black",4.5 out of 5 stars,"25,068",43.99,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_lawngarden_sr_pg1_1?ie=UTF8&adId=A05017243O68BVZPA0G6A&qualifier=1650964385&id=2867984954111423&widgetName=sp_btf&url=%2FFlexiHose-Upgraded-Expandable-Strength-Fittings%2Fdp%2FB0785JVT1S%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dgarden%2Bindoor%26qid%3D1650964385%26refinements%3Dp_72%253A11192167011%26rnid%3D11192166011%26s%3Dlawn-garden%26sr%3D1-33-spons%26psc%3D1
